ID,name,url,,commits,stars,forks,contrib,language,description,Type
1,vaporz/turbo,https://github.com/vaporz/turbo,,219,34,10,2,Go,"A lightweight microservice tool, turn your grpc|thrift APIs into HTTP APIs!",Communication
2,datawire/ambassador,https://github.com/datawire/ambassador,,413,98,11,4,Python,"a self-service API gateway for microservices built on Lyft Envoy (mapping URLs, simple setup and config, integrated monitoring, load balancing, observability.  is built around the idea of mapping resources (in the REST sense) to services (in the Kubernetes sense).",Communication
3,artificilabs/trellio,https://github.com/artificilabs/trellio,,175,15,1,3,Python,async microframework for microservice architecture,Communication
4,tcdl/msb,https://github.com/tcdl/msb,,391,18,4,15,JS,A framework to simplify the implementation of an event-bus oriented microservices architecture,Communication
5,wedeploy/magnet,https://github.com/wedeploy/magnet,,407,19,5,5,JS,"A modern approach for async microservices in node.js,  uses the power of ES2015 and beyond into your microservices",Communication
6,zeit/micro,https://github.com/zeit/micro,,330,4937,195,33,JS,Asynchronous HTTP microservices,Communication
7,umts/microservices-engine,https://github.com/umts/microservices-engine,,222,14,1,6,Ruby,Rails engine for attaching to transportation service microservices and handling inter-service communication. ,Communication
8,tes/compoxure,https://github.com/tes/compoxure,,577,242,38,29,JS,Proxy middleware for express that enables composition of microservices,Communication
9,ExpressGateway/express-gateway,https://github.com/ExpressGateway/express-gateway,,240,424,25,7,JS,"A microservices API Gateway built on top of ExpressJS. secures your microservices and exposes them through APIs using Node.js, ExpressJS and Express middleware. Developing microservices, orchestrating and managing them",Communication
10,Netflix/conductor,https://github.com/Netflix/conductor,,408,796,164,23,Java,Conductor is a microservices orchestration engine that runs in the cloud.,Communication
11,noisyboiler/wampy,https://github.com/noisyboiler/wampy,,573,20,5,2,Python," Websocket RPC and Pub/Sub for Python applications and microservices, implementing WAMP (Web Application Messaging Protocol)",Communication
12,malijs/mali,https://github.com/malijs/mali,,66,47,8,2,JS,A minimalistic gRPC microservice framework for Node.js,Communication
13,Stackvana/microcule,https://github.com/Stackvana/microcule,,206,323,17,4,JS,SDK and CLI for spawning streaming stateless HTTP microservices in multiple programming languages ,Communication
14,NitorCreations/nflow,https://github.com/NitorCreations/nflow,,1358,32,10,9,Java,"light-weight and modular solution for orchestrating processes using Java. It can be used for orchestrating microservices, as traditional business process engine or as asynchronous backend dispatcher. ",Communication
15,yarpc/yarpc-go,https://github.com/yarpc/yarpc-go,,1090,65,13,17,Go,"A message passing platform for Go, Write servers and clients with various encodings (e.g, JSON), expose servers over many transports simultaneously",Communication
16,linking12/saluki,https://github.com/linking12/saluki,,1479,69,39,4,Java," Spring Boot starter module for gRPC framework.",Communication
